"Measurement
Format:wav
MayVersion,none,EFF_Hero101_NormalAttack01,110,Efforts,普通攻击,凯尔,Attack Effort,EFF_Hero101_NormalAttack01_02,Hero101_NormalAttack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_NormalAttack01,111,Efforts,普通攻击,凯尔,Attack Effort,EFF_Hero101_NormalAttack01_03,Hero101_NormalAttack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_AirSuperCancel,112,Efforts,空中取消,凯尔,Laugh short,EFF_Hero101_AirSuperCancel_01,AM_Hero101_AirSuperCancel.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_AirSuperCancel,113,Efforts,空中取消,凯尔,Laugh short,EFF_Hero101_AirSuperCancel_02,AM_Hero101_AirSuperCancel.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_AirSuperCancel,114,Efforts,空中取消,凯尔,Laugh short,EFF_Hero101_AirSuperCancel_03,AM_Hero101_AirSuperCancel.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_01,115,Efforts,分支技能1跳斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_01_01,AM_Hero101_BranchAttack_01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_01,116,Efforts,分支技能1跳斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_01_02,AM_Hero101_BranchAttack_01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_01,117,Efforts,分支技能1跳斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_01_03,AM_Hero101_BranchAttack_01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_02,118,Efforts,分支技能2升龙斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_02_01,AM_Hero101_BranchAttack_02.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_02,119,Efforts,分支技能2升龙斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_02_02,AM_Hero101_BranchAttack_02.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_02,120,Efforts,分支技能2升龙斩,凯尔,Attack Effort,EFF_Hero101_BranchAttack_02_03,AM_Hero101_BranchAttack_02.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_03,121,Efforts,分支技能3无限拳循环,凯尔,Attack Effort,EFF_Hero101_BranchAttack_03_01,Hero101_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_03,122,Efforts,分支技能3无限拳循环,凯尔,Attack Effort,EFF_Hero101_BranchAttack_03_02,Hero101_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_BranchAttack_03,123,Efforts,分支技能3无限拳循环,凯尔,Attack Effort,EFF_Hero101_BranchAttack_03_03,Hero101_BranchAttack_03.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPAttack01,124,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPAttack01_01,Hero101_SPAttack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPAttack01,125,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPAttack01_02,Hero101_SPAttack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPAttack01,126,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPAttack01_03,Hero101_SPAttack.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashBack,127,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashBack_01,AM_Hero101_DashBack.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashBack,128,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashBack_02,AM_Hero101_DashBack.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashBack,129,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashBack_03,AM_Hero101_DashBack.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashFront,130,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashFront_01,AM_Hero101_DashFront.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashFront,131,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashFront_02,AM_Hero101_DashFront.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_DashFront,132,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_DashFront_03,AM_Hero101_DashFront.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Dead,133,Efforts,Action,凯尔,Dying Cry,EFF_Hero101_Dead_01,AM_Hero101_Dead.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Dead,134,Efforts,Action,凯尔,Dying Cry,EFF_Hero101_Dead_02,AM_Hero101_Dead.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Dead,135,Efforts,Action,凯尔,Dying Cry,EFF_Hero101_Dead_03,AM_Hero101_Dead.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExAttack01,136,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_ExAttack01_01,AM_Hero101_ExAttack01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExAttack01,137,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_ExAttack01_02,AM_Hero101_ExAttack01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExAttack01,138,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_ExAttack01_03,AM_Hero101_ExAttack01.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExDash,139,Efforts,Action,凯尔,Jump Effort Stronger,EFF_Hero101_ExDash_01,AM_Hero101_ExDash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExDash,140,Efforts,Action,凯尔,Jump Effort Stronger,EFF_Hero101_ExDash_02,AM_Hero101_ExDash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_ExDash,141,Efforts,Action,凯尔,Jump Effort Stronger,EFF_Hero101_ExDash_03,AM_Hero101_ExDash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Execute,142,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_Execute_01,AM_Hero101_Execute.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Execute,143,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_Execute_02,AM_Hero101_Execute.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Execute,144,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_Execute_03,AM_Hero101_Execute.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Air_Fall_OnGround,145,Efforts,Get hurt and stand up,凯尔,Get hurt and stand up,EFF_Hero101_Hit_Air_Fall_OnGround_01,AM_Hero101_Hit_Air_Fall_OnGround.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Air_Fall_OnGround,146,Efforts,Get hurt and stand up,凯尔,Get hurt and stand up,EFF_Hero101_Hit_Air_Fall_OnGround_02,AM_Hero101_Hit_Air_Fall_OnGround.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Air_Fall_OnGround,147,Efforts,Get hurt and stand up,凯尔,Get hurt and stand up,EFF_Hero101_Hit_Air_Fall_OnGround_03,AM_Hero101_Hit_Air_Fall_OnGround.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_KnockOver_F,148,Efforts,Get knockOver and standup,凯尔,Get knockOver and standup,EFF_Hero101_Hit_KnockOver_F_01,AM_Hero101_Hit_KnockOver_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_KnockOver_F,149,Efforts,Get knockOver and standup,凯尔,Get knockOver and standup,EFF_Hero101_Hit_KnockOver_F_02,AM_Hero101_Hit_KnockOver_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_KnockOver_F,150,Efforts,Get knockOver and standup,凯尔,Get knockOver and standup,EFF_Hero101_Hit_KnockOver_F_03,AM_Hero101_Hit_KnockOver_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Smash,151,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Smash_01,AM_Hero101_Hit_Smash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Smash,152,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Smash_02,AM_Hero101_Hit_Smash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Smash,153,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Smash_03,AM_Hero101_Hit_Smash.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Heavy_F,154,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Heavy_F_01,AM_Hero101_Hit_Stand_Heavy_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Heavy_F,155,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Heavy_F_02,AM_Hero101_Hit_Stand_Heavy_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Heavy_F,156,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Heavy_F_03,AM_Hero101_Hit_Stand_Heavy_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Normal_F,157,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Normal_F_01,AM_Hero101_Hit_Stand_Normal_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Normal_F,158,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Normal_F_02,AM_Hero101_Hit_Stand_Normal_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_Hit_Stand_Normal_F,159,Efforts,Get hurt,凯尔,Get hurt,EFF_Hero101_Hit_Stand_Normal_F_03,AM_Hero101_Hit_Stand_Normal_F.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_RunToSprint,160,Efforts,Run,凯尔,"start,chant,accelarte, stop",EFF_Hero101_RunToSprint_01,Hero101_run.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_RunToSprint,161,Efforts,Run,凯尔,"start,chant,accelarte, stop",EFF_Hero101_RunToSprint_02,Hero101_run.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_RunToSprint,162,Efforts,Run,凯尔,"start,chant,accelarte, stop",EFF_Hero101_RunToSprint_03,Hero101_run.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPCharge01,163,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPCharge01_01,Hero101_SPCharge01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPCharge01,164,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPCharge01_02,Hero101_SPCharge01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_SPCharge01,165,Efforts,Attack,凯尔,Attack Effort,EFF_Hero101_SPCharge01_03,Hero101_SPCharge01.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_TechMove01a,166,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_TechMove01a_01,AM_Hero101_TechMove01a.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_TechMove01a,167,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_TechMove01a_02,AM_Hero101_TechMove01a.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_TechMove01a,168,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_TechMove01a_03,AM_Hero101_TechMove01a.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_WitchDash_L,169,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_WitchDash_L_01,AM_Hero101_WitchDash_L.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_WitchDash_L,170,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_WitchDash_L_02,AM_Hero101_WitchDash_L.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_WitchDash_L,171,Efforts,Action,凯尔,Jump Effort,EFF_Hero101_WitchDash_L_03,AM_Hero101_WitchDash_L.avi,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_NormalAttack_End,172,Efforts,Action,凯尔,Action Effort,EFF_Hero101_NormalAttack_End_01,Hero101_NormalAttack_End.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_NormalAttack_End,173,Efforts,Action,凯尔,Action Effort,EFF_Hero101_NormalAttack_End_02,Hero101_NormalAttack_End.mp4,,,,,,,,,,,,,,,,,,,,
MayVersion,none,EFF_Hero101_NormalAttack_End,174,Efforts,Action,凯尔,Action Effort,EFF_Hero101_NormalAttack_End_03,Hero101_NormalAttack_End.mp4,,,,,,,,,,,,,,,,,,,,
